language,structure,n,operation,count,mean_ns,median_ns,std_ns,ci95_half_width_ns
python,hash,25000,traverse,10,109174.9,108667.0,2200.810479497648,1364.0764674616546
python,linked,1000,delete,10,173920.9,173874.5,1133.732424830088,702.6946370511478
python,linked,1000,insert,10,104737.5,103708.5,1871.7764734782481,1160.1390776741669
python,linked,1000,search,10,237037.4,237083.5,1659.0911300401126,1028.3153360750346
python,linked,1000,traverse,10,30454.2,30458.0,392.5635971123377,243.31343829536235
python,linked,5000,delete,10,3943108.5,3941604.5,240825.90358285795,149265.4414784274
python,linked,5000,insert,10,663512.5,660375.0,29758.588826495863,18444.564446256183
python,linked,5000,search,10,4986312.4,4988645.5,200777.4993143737,124443.18334627793
python,linked,5000,traverse,10,153850.2,154396.0,4169.079162916754,2584.0220364715674
python,linked,10000,delete,10,12959508.4,12969541.5,77840.99364759191,48246.34771038937
python,linked,10000,insert,10,1385591.7,1364895.5,100051.2763270803,62012.42353609005
python,linked,10000,search,10,21137458.4,20918666.5,533553.5259663791,330699.9015508398
python,linked,10000,traverse,10,303029.2,303312.5,11607.311257230169,7194.286052338542
python,linked,25000,delete,10,77179141.6,76787937.0,1223595.6024844882,758392.4116081252
python,linked,25000,insert,10,3856196,3375958.5,1055339.136396974,654105.9734861901
python,linked,25000,search,10,125406971,123330291.5,5081096.58401712,3149296.29049186
python,linked,25000,traverse,10,807037.6,740562.5,214222.86945619146,132776.71009818232
